"column","level","count"
"orig.ident","SeuratProject",2364
"Region","ML",1480
"Region","GCL",645
"Region","Hilus",239
"GEMgroup","1",292
"GEMgroup","2",188
"GEMgroup","3",130
"GEMgroup","4",187
"GEMgroup","5",101
"GEMgroup","6",151
"GEMgroup","7",113
"GEMgroup","8",154
"GEMgroup","9",100
"GEMgroup","10",169
"GEMgroup","11",82
"GEMgroup","12",165
"GEMgroup","13",104
"GEMgroup","14",185
"GEMgroup","15",82
"GEMgroup","16",161
"Position","Anterior",1360
"Position","Posterior",1004
"Age","Young",797
"Age","Middle",519
"Age","Old",1048
"SCT_snn_res.1","0",415
"SCT_snn_res.1","1",407
"SCT_snn_res.1","2",329
"SCT_snn_res.1","3",295
"SCT_snn_res.1","4",253
"SCT_snn_res.1","5",208
"SCT_snn_res.1","6",181
"SCT_snn_res.1","7",140
"SCT_snn_res.1","8",136
"seurat_clusters","0",415
"seurat_clusters","1",407
"seurat_clusters","2",329
"seurat_clusters","3",295
"seurat_clusters","4",253
"seurat_clusters","5",208
"seurat_clusters","6",181
"seurat_clusters","7",140
"seurat_clusters","8",136
